mined_at,tweet_id,tweet_id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,hashtags,source,language,created_at,year,month,day,day_of_week,hour,minute,screen_name,user_tweet_id,user_tweet_id_str,user_favourites_count,followers_count,friends_count,text,user_screen_name,user_id,user_location
2020-06-21 12:36:58.007296,1273583869753724930,1273583869753724930,jelleprins,1.273583081321042e+18,16546619.0,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",nl,2020-06-18 11:50:31+00:00,2020,6,18,3,11,50,GHengeveld,20709019.0,20709019.0,889.0,1484,1750,"@jelleprins @picnic @JumboSupermarkt @albertheijn Geen ervaring met die van Jumbo of AH, maar die van Picnic is so gebruiksvriendelijk dat mijn zoontje van 3 de boodschappen doet.",,,
2020-06-21 12:37:02.634602,1273585426268409859,1273585426268409859,Oli4K,1.2735842313362885e+18,6091182.0,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nl,2020-06-18 11:56:42+00:00,2020,6,18,3,11,56,jelleprins,16546619.0,16546619.0,4416.0,10513,1063,"@Oli4K @picnic @JumboSupermarkt @albertheijn Lijkt er op dat Jumbo &amp; AH erg naar website &amp; elkaar hebben gekeken, terwijl Picnic echt mobile first &amp; vanuit niks is gestart.",,,
2020-06-21 12:36:54.757866,1273616458459705347,1273616458459705347,,,,[],"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",nl,2020-06-18 14:00:01+00:00,2020,6,18,3,14,0,agfnl,164631799.0,164631799.0,84.0,8530,2128,"""Trendbreuk: Jumbo al 3 weken duurder in AGF dan AH, Picnic volgt""
https://t.co/mVfpqWNoT7 https://t.co/vPVSFN5S49",,,
2020-06-21 12:37:01.733670,1273632376950849537,1273632376950849537,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nl,2020-06-18 15:03:16+00:00,2020,6,18,3,15,3,martiendas,111582731.0,111582731.0,10982.0,4648,5115,"Half juni en nog steeds worden boodschappen bezorgd bij meerdere huizen in de straat door AH, Jumbo, Picnic. Benieuwd: is dat blijvend of gaan mensen toch weer zelf naar de winkel over een tijdje? Onze boodschappen werden al langer bezorgd, wegens geen biowinkel hier @Korenmaat",,,
2020-06-21 13:02:46.884312,1274501643044884480,1274501643044884480,,,,[],"<a href=""http://www.socastdigital.com"" rel=""nofollow"">SoCast Digital</a>",en,2020-06-21 00:37:25+00:00,2020,6,21,6,0,37,SeehaferNews,9.668518228739932e+17,9.668518228739932e+17,110.0,173,93,"The Kiel Community Picnic Committee has decided that due to concerns over the COVID-19 Pandemic, the Community Picnic had to be canceled. https://t.co/mSANbTDRgq",,,
2020-06-21 13:02:49.298622,1274501644005277697,1274501644005277697,,,,[],"<a href=""http://www.socastdigital.com"" rel=""nofollow"">SoCast Digital</a>",en,2020-06-21 00:37:25+00:00,2020,6,21,6,0,37,womtam,58450687.0,58450687.0,154.0,416,98,"The Kiel Community Picnic Committee has decided that due to concerns over the COVID-19 Pandemic, the Community Picnic had to be canceled. https://t.co/TCisfGJcGM",,,
2020-06-21 13:02:45.561162,1274504489744117762,1274504489744117762,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2020-06-21 00:48:44+00:00,2020,6,21,6,0,48,PalamaJeni,1.0385017730430157e+18,1.0385017730430157e+18,1088.0,119,131,"RT @TrishaFisher681: If Covid cancels Newton Picnic, we riot",,,
2020-06-21 13:02:44.795555,1274507812341760000,1274507812341760000,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,2020-06-21 01:01:56+00:00,2020,6,21,6,1,1,5455km629,3627509358.0,3627509358.0,86318.0,5643,6105,"RT @diannemando: @AngelinaWTSP @HealthyFla @10TampaBay I just took a car ride to Nokomis Beach/North Jetty in SW Florida. Parking lots, bea…",,,
2020-06-21 13:02:46.335633,1274515327284477955,1274515327284477955,,,,"[{'text': 'SanDiego'}, {'text': 'socialdistancing'}, {'text': 'COVID'}]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,2020-06-21 01:31:48+00:00,2020,6,21,6,1,31,aliveinsv,309283967.0,309283967.0,1879.0,13,133,"#SanDiego. 3 moms, 5 kids at park, all masked. Stuff on picnic table, moms sit distanced in lawn chairs while kids ride bikes. Park guy says he's been told to tell them to sit together at picnic table, no lawn chairs. #socialdistancing #COVID.",,,
2020-06-21 13:02:44.534285,1274526059174801409,1274526059174801409,MurielBowser,1.2745158267843092e+18,245571881.0,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,2020-06-21 02:14:26+00:00,2020,6,21,6,2,14,Platonas96,1.171823486052053e+18,1.171823486052053e+18,895.0,15,117,@MurielBowser @ktumulty @AOC Yes. Both u and AOC are trying to destroy our country. The arena wasn’t half empty. I spoke to ppl there. He draws more w covid than HRC did w jayz n lebron to help. Biden will stick to his picnic table. U guys r shot,,,
