created_at,screen_name,user_favourites_count,followers_count,friends_count,retweet_count,hashtags,source,language,text,cleaned_text,cleaned_text_without_stop
2020-03-30 08:04:02+00:00,albertheijn,,,,0,,Tracebuzz,nl,"@derots Voorraad is er genoeg, het is voor ons echter een logistieke uitdaging om alles op het juiste moment op de juiste plek te hebben. Hier werken we dag en nacht en met man en macht aan om voor elkaar te krijgen. Sorry dat dit alsnog een leeg schap opleverd. ^Job",voorraad is er genoeg het is voor ons echter een logistieke uitdaging om alles op het juiste moment op de juiste plek te hebben hier werken we dag en nacht en met man en macht aan om voor elkaar te krijgen sorry dat dit alsnog een leeg schap opleverd job,voorraad genoeg logistieke uitdaging juiste moment juiste plek werken dag nacht man macht elkaar krijgen sorry alsnog leeg schap opleverd job
2020-03-30 08:14:24+00:00,albertheijn,,,,0,,Tracebuzz,nl,@MoniquevDBurgh We doen er alles aan om zoveel mogelijk bezorg- en afhaalmomenten vrij te krijgen. Het kan zijn dat een bezorgmoment al vol zit al vorens je deze kunt inzien. Klanten met een Bezorgbundel kunnen namelijk een week verder inplannen. ^Job,we doen er alles aan om zoveel mogelijk bezorg en afhaalmomenten vrij te krijgen het kan zijn dat een bezorgmoment al vol zit al vorens je deze kunt inzien klanten met een bezorgbundel kunnen namelijk een week verder inplannen job,bezorg afhaalmomenten krijgen bezorgmoment vol zit vorens inzien klanten bezorgbundel namelijk week inplannen job
2020-03-30 08:23:12+00:00,albertheijn,,,,0,,Tracebuzz,nl,@AnnekeVisser15 Klopt! De Persoonlijke Bonus wordt tijdelijk niet meer gegeven. Wij  geven nu in onze operatie en de winkels prioriteit aan het beschikbaar maken van producten voor de dagelijkse boodschappen. ^Job,klopt de persoonlijke bonus wordt tijdelijk niet meer gegeven wij  geven nu in onze operatie en de winkels prioriteit aan het beschikbaar maken van producten voor de dagelijkse boodschappen job,klopt persoonlijke bonus tijdelijk   operatie winkels prioriteit beschikbaar maken producten dagelijkse boodschappen job
2020-03-30 08:26:12+00:00,albertheijn,,,,0,,Tracebuzz,nl,@waltervantiel    We kopen groenten en fruit zo dichtbij als mogelijk en zo ver weg als noodzakelijk. Vooral in de zomer halen we producten uit eigen land. In de winter zijn er minder producten beschikbaar en halen we bijvoorbeeld de aardbeien / druiven uit het buitenland. ^Job,we kopen groenten en fruit zo dichtbij als mogelijk en zo ver weg als noodzakelijk vooral in de zomer halen we producten uit eigen land in de winter zijn er minder producten beschikbaar en halen we bijvoorbeeld de aardbeien  druiven uit het buitenland job,kopen groenten fruit dichtbij ver noodzakelijk zomer halen producten land winter producten beschikbaar halen aardbeien   druiven buitenland job
2020-03-30 08:30:44+00:00,albertheijn,,,,0,,Tracebuzz,nl,"@bbstring Je kunt ons het beste een privébericht sturen als je een vraag hebt (Twitter, Facebook, Whatsapp). De bezorgmomenten voor de komende 2 weken zijn bijna overal inderdaad volgeboekt.. We rijden met maximale inzet, sorry dat ik je niet beter kan berichten! ^Job",je kunt ons het beste een privebericht sturen als je een vraag hebt   de bezorgmomenten voor de komende 2 weken zijn bijna overal inderdaad volgeboekt we rijden met maximale inzet sorry dat ik je niet beter kan berichten job,beste privebericht sturen vraag    bezorgmomenten komende 2 weken overal inderdaad volgeboekt rijden maximale inzet sorry berichten job
2020-03-30 09:13:01+00:00,picnic,3885.0,4842.0,5.0,0,,Zendesk,nl,@De_Neliz Het is inderdaad drukker dan normaal! Iedere ochtend om 9:00 komen de beschikbare bezorg momenten online. Hopelijk kun je er morgen ochtend eentje bemachtigen. ^Victor,het is inderdaad drukker dan normaal iedere ochtend om 900 komen de beschikbare bezorg momenten online hopelijk kun je er morgen ochtend eentje bemachtigen victor,inderdaad drukker normaal iedere ochtend 900 komen beschikbare bezorg momenten online hopelijk kun morgen ochtend eentje bemachtigen victor
2020-03-30 09:33:40+00:00,albertheijn,,,,0,,Twitter Web App,nl,"@Bryan65165100 Werkze, collega!💙 #wedoenhetsamen ^Job",werkze collega  job,werkze collega   job
2020-03-30 09:44:36+00:00,picnic,3885.0,4842.0,5.0,0,,Twitter Web App,nl,"@xelysemelissa Helaas kun je geen bestelling wijzigen, sorry. Het is alleen mogelijk om de bestelling te annuleren en opnieuw te plaatsen (mits er nog plek is). ^Victor",helaas kun je geen bestelling wijzigen sorry het is alleen mogelijk om de bestelling te annuleren en opnieuw te plaatsen   victor,helaas kun bestelling wijzigen sorry bestelling annuleren plaatsen    victor
2020-03-30 09:56:44+00:00,albertheijn,,,,0,,Tracebuzz,nl,"@AladindaA Hi! Ohh jeetje 🙊 Ik kan helaas niet zeggen of je het nog gewoon kunt eten, voor de zekerheid toch niet doen! Kun je ons een DM sturen en vertellen waar je dit prouduct hebt gekocht samen met een foto van de achterkant? Dan gaan wij op zoek naar een oplossing! ^Hilal",hi ohh jeetje  ik kan helaas niet zeggen of je het nog gewoon kunt eten voor de zekerheid toch niet doen kun je ons een dm sturen en vertellen waar je dit prouduct hebt gekocht samen met een foto van de achterkant dan gaan wij op zoek naar een oplossing hilal,hi ohh jeetje   helaas zeggen eten zekerheid kun dm sturen vertellen prouduct gekocht samen foto achterkant gaan zoek oplossing hilal
2020-03-30 10:08:21+00:00,albertheijn,,,,0,,Tracebuzz,nl,"@kyyayaya Helaas niet, de bezorger zet de boodschappen in deze tijden namelijk bij je voordeur, regelt de betaling en rijdt vervolgens weer verder. Normaliter is dit geen probleem! ^Job",helaas niet de bezorger zet de boodschappen in deze tijden namelijk bij je voordeur regelt de betaling en rijdt vervolgens weer verder normaliter is dit geen probleem job,helaas bezorger zet boodschappen tijden namelijk voordeur regelt betaling rijdt normaliter probleem job
2020-03-30 10:14:51+00:00,albertheijn,,,,0,,Tracebuzz,nl,"@lindadenbraber Hi Linda, als klantenservice nemen we deze vragen niet in behandeling. Ik adviseer je contact op te nemen met de winkelmanager of de personeelsfunctionaris van de regio. De namen van de personeelsfunctionarissen en telefoonnummers zijn bekend in de winkel. ^Mike",hi linda als klantenservice nemen we deze vragen niet in behandeling ik adviseer je contact op te nemen met de winkelmanager of de personeelsfunctionaris van de regio de namen van de personeelsfunctionarissen en telefoonnummers zijn bekend in de winkel mike,hi linda klantenservice nemen vragen behandeling adviseer contact nemen winkelmanager personeelsfunctionaris regio namen personeelsfunctionarissen telefoonnummers bekend winkel mike
2020-03-30 10:47:33+00:00,albertheijn,,,,0,,Tracebuzz,nl,@infoweetjes Er is geen vast moment. Houd de app dus goed in de gaten! ^Robin,er is geen vast moment houd de app dus goed in de gaten robin,vast moment houd app goed gaten robin
2020-03-30 10:51:46+00:00,albertheijn,,,,0,,Tracebuzz,nl,"@LaurensPeijs Dank voor je idee! Maar nee, dit is niet mogelijk. We doen ons best iedereen te voorzien van boodschappen. Maar het is voor ons een hele drukkte tijd.  ^Robin",dank voor je idee maar nee dit is niet mogelijk we doen ons best iedereen te voorzien van boodschappen maar het is voor ons een hele drukkte tijd  robin,dank idee nee best iedereen voorzien boodschappen drukkte tijd   robin
2020-03-30 10:57:22+00:00,albertheijn,,,,0,,Tracebuzz,nl,@dennisvankommer  Suuuuper lief van ze! 💙 ^Robin,suuuuper lief van ze  robin,suuuuper lief   robin
2020-03-30 11:00:03+00:00,albertheijn,,,,1,,Tracebuzz,nl,"@haesebroeck  Hoi! We vragen iedereen, wanneer dat mogelijk is, alleen te komen winkelen. Geen overbodige bezoekjes dus. Mocht het niet anders kunnen is dit zeker mogelijk, wel met een eigen winkelkar. ^Robin",hoi we vragen iedereen wanneer dat mogelijk is alleen te komen winkelen geen overbodige bezoekjes dus mocht het niet anders kunnen is dit zeker mogelijk wel met een eigen winkelkar robin,hoi vragen iedereen komen winkelen overbodige bezoekjes winkelkar robin
2020-03-30 11:03:27+00:00,albertheijn,,,,0,,Tracebuzz,nl,"@conniemamarazzi Dat weten we nog niet precies! Bewaar de boekjes goed, want deze zijn zometeen natuurlijk 'gewoon' weer geldig. ^Job",dat weten we nog niet precies bewaar de boekjes goed want deze zijn zometeen natuurlijk gewoon weer geldig job,weten bewaar boekjes goed zometeen natuurlijk geldig job
2020-03-30 11:14:26+00:00,albertheijn,,,,0,,Tracebuzz,nl,@HaagscheBluf070 Hiervoor kun je ons het beste een privébericht sturen met ordergegevens. Stuur je ons een DM? :) ^Job,hiervoor kun je ons het beste een privebericht sturen met ordergegevens stuur je ons een dm  job,hiervoor kun beste privebericht sturen ordergegevens stuur dm   job
2020-03-30 11:17:35+00:00,albertheijn,,,,0,,Tracebuzz,nl,@adrm1984  Helaas kan het voorkomen dat er een technisch foutje in het systeem zit. We doen ons best om alles zo goed mogelijk te laten werken 😊 ^Robin,helaas kan het voorkomen dat er een technisch foutje in het systeem zit we doen ons best om alles zo goed mogelijk te laten werken  robin,helaas voorkomen technisch foutje systeem zit best goed laten werken   robin
2020-03-30 11:19:32+00:00,albertheijn,,,,0,,Twitter Web App,nl,@AcrisLegal @MattHouben Klanten met een bezorgbundel kunnen een week verder vooruit inplannen. Ook krijgen zorginstellingen een geresveerd bezorgblok. Hierdoor kan het voorkomen dat een bezorgmoment vol is al vorens deze zichtbaar is voor klanten zonder bezorgbundel. ^Job,klanten met een bezorgbundel kunnen een week verder vooruit inplannen ook krijgen zorginstellingen een geresveerd bezorgblok hierdoor kan het voorkomen dat een bezorgmoment vol is al vorens deze zichtbaar is voor klanten zonder bezorgbundel job,klanten bezorgbundel week inplannen krijgen zorginstellingen geresveerd bezorgblok hierdoor voorkomen bezorgmoment vol vorens zichtbaar klanten bezorgbundel job
2020-03-30 11:24:56+00:00,albertheijn,,,,0,,Tracebuzz,nl,@PvdKamp1    Er is op dit moment geen bewijs dat het coronavirus zich kan verspreiden via water aerosolen (European Centre for Disease Prevention).  ^Job,er is op dit moment geen bewijs dat het coronavirus zich kan verspreiden via water aerosolen    job,moment bewijs coronavirus verspreiden via water aerosolen     job
2020-03-30 11:25:16+00:00,albertheijn,,,,0,,Tracebuzz,nl,"@Stefanofranken Helaas stoppen wij tijdelijk met de spaaractie voor de vershoudbakjes.
Uiteraard blijven alle gespaarde zegels (zowel fysiek als digitaal) geldig en zullen we er ook voor zorgen dat er voldoende tijd en voorraad is om later door te sparen en in te wisselen. ^Robin","helaas stoppen wij tijdelijk met de spaaractie voor de vershoudbakjes
uiteraard blijven alle gespaarde zegels   geldig en zullen we er ook voor zorgen dat er voldoende tijd en voorraad is om later door te sparen en in te wisselen robin","helaas stoppen tijdelijk spaaractie vershoudbakjes 
 uiteraard blijven gespaarde zegels    geldig zorgen voldoende tijd voorraad sparen wisselen robin"
