created_at,screen_name,user_favourites_count,followers_count,friends_count,retweet_count,hashtags,source,language,text,cleaned_text,polarity,sentiment
2020-03-30 08-03-02,albertheijn,,,,0,,Tracebuzz,nl,"@derots Voorraad is er genoeg, het is voor ons echter een logistieke uitdaging om alles op het juiste moment op de juiste plek te hebben. Hier werken we dag en nacht en met man en macht aan om voor elkaar te krijgen. Sorry dat dit alsnog een leeg schap opleverd. ^Job",voorraad is er genoeg het is voor ons echter een logistieke uitdaging om alles op het juiste moment op de juiste plek te hebben hier werken we dag en nacht en met man en macht aan om voor elkaar te krijgen sorry dat dit alsnog een leeg schap opleverd job,0.16,positive
2020-03-30 08-03-24,albertheijn,,,,0,,Tracebuzz,nl,@MoniquevDBurgh We doen er alles aan om zoveel mogelijk bezorg- en afhaalmomenten vrij te krijgen. Het kan zijn dat een bezorgmoment al vol zit al vorens je deze kunt inzien. Klanten met een Bezorgbundel kunnen namelijk een week verder inplannen. ^Job,we doen er alles aan om zoveel mogelijk bezorg en afhaalmomenten vrij te krijgen het kan zijn dat een bezorgmoment al vol zit al vorens je deze kunt inzien klanten met een bezorgbundel kunnen namelijk een week verder inplannen job,0.22,positive
2020-03-30 08-03-12,albertheijn,,,,0,,Tracebuzz,nl,@AnnekeVisser15 Klopt! De Persoonlijke Bonus wordt tijdelijk niet meer gegeven. Wij  geven nu in onze operatie en de winkels prioriteit aan het beschikbaar maken van producten voor de dagelijkse boodschappen. ^Job,klopt de persoonlijke bonus wordt tijdelijk niet meer gegeven wij  geven nu in onze operatie en de winkels prioriteit aan het beschikbaar maken van producten voor de dagelijkse boodschappen job,0.12,positive
2020-03-30 08-03-12,albertheijn,,,,0,,Tracebuzz,nl,@waltervantiel    We kopen groenten en fruit zo dichtbij als mogelijk en zo ver weg als noodzakelijk. Vooral in de zomer halen we producten uit eigen land. In de winter zijn er minder producten beschikbaar en halen we bijvoorbeeld de aardbeien / druiven uit het buitenland. ^Job,we kopen groenten en fruit zo dichtbij als mogelijk en zo ver weg als noodzakelijk vooral in de zomer halen we producten uit eigen land in de winter zijn er minder producten beschikbaar en halen we bijvoorbeeld de aardbeien  druiven uit het buitenland job,0.13,positive
2020-03-30 08-03-44,albertheijn,,,,0,,Tracebuzz,nl,"@bbstring Je kunt ons het beste een privébericht sturen als je een vraag hebt (Twitter, Facebook, Whatsapp). De bezorgmomenten voor de komende 2 weken zijn bijna overal inderdaad volgeboekt.. We rijden met maximale inzet, sorry dat ik je niet beter kan berichten! ^Job",je kunt ons het beste een privebericht sturen als je een vraag hebt   de bezorgmomenten voor de komende 2 weken zijn bijna overal inderdaad volgeboekt we rijden met maximale inzet sorry dat ik je niet beter kan berichten job,0.21,positive
2020-03-30 09-03-01,picnic,3885.0,4842.0,5.0,0,,Zendesk,nl,@De_Neliz Het is inderdaad drukker dan normaal! Iedere ochtend om 9:00 komen de beschikbare bezorg momenten online. Hopelijk kun je er morgen ochtend eentje bemachtigen. ^Victor,het is inderdaad drukker dan normaal iedere ochtend om 900 komen de beschikbare bezorg momenten online hopelijk kun je er morgen ochtend eentje bemachtigen victor,0.26,positive
2020-03-30 09-03-40,albertheijn,,,,0,,Twitter Web App,nl,"@Bryan65165100 Werkze, collega!💙 #wedoenhetsamen ^Job",werkze collega  job,0.0,neutral
2020-03-30 09-03-36,picnic,3885.0,4842.0,5.0,0,,Twitter Web App,nl,"@xelysemelissa Helaas kun je geen bestelling wijzigen, sorry. Het is alleen mogelijk om de bestelling te annuleren en opnieuw te plaatsen (mits er nog plek is). ^Victor",helaas kun je geen bestelling wijzigen sorry het is alleen mogelijk om de bestelling te annuleren en opnieuw te plaatsen   victor,0.1,positive
2020-03-30 09-03-44,albertheijn,,,,0,,Tracebuzz,nl,"@AladindaA Hi! Ohh jeetje 🙊 Ik kan helaas niet zeggen of je het nog gewoon kunt eten, voor de zekerheid toch niet doen! Kun je ons een DM sturen en vertellen waar je dit prouduct hebt gekocht samen met een foto van de achterkant? Dan gaan wij op zoek naar een oplossing! ^Hilal",hi ohh jeetje  ik kan helaas niet zeggen of je het nog gewoon kunt eten voor de zekerheid toch niet doen kun je ons een dm sturen en vertellen waar je dit prouduct hebt gekocht samen met een foto van de achterkant dan gaan wij op zoek naar een oplossing hilal,-0.2,negative
2020-03-30 10-03-21,albertheijn,,,,0,,Tracebuzz,nl,"@kyyayaya Helaas niet, de bezorger zet de boodschappen in deze tijden namelijk bij je voordeur, regelt de betaling en rijdt vervolgens weer verder. Normaliter is dit geen probleem! ^Job",helaas niet de bezorger zet de boodschappen in deze tijden namelijk bij je voordeur regelt de betaling en rijdt vervolgens weer verder normaliter is dit geen probleem job,0.0,neutral
2020-03-30 10-03-51,albertheijn,,,,0,,Tracebuzz,nl,"@lindadenbraber Hi Linda, als klantenservice nemen we deze vragen niet in behandeling. Ik adviseer je contact op te nemen met de winkelmanager of de personeelsfunctionaris van de regio. De namen van de personeelsfunctionarissen en telefoonnummers zijn bekend in de winkel. ^Mike",hi linda als klantenservice nemen we deze vragen niet in behandeling ik adviseer je contact op te nemen met de winkelmanager of de personeelsfunctionaris van de regio de namen van de personeelsfunctionarissen en telefoonnummers zijn bekend in de winkel mike,0.35,positive
2020-03-30 10-03-33,albertheijn,,,,0,,Tracebuzz,nl,@infoweetjes Er is geen vast moment. Houd de app dus goed in de gaten! ^Robin,er is geen vast moment houd de app dus goed in de gaten robin,0.34,positive
2020-03-30 10-03-46,albertheijn,,,,0,,Tracebuzz,nl,"@LaurensPeijs Dank voor je idee! Maar nee, dit is niet mogelijk. We doen ons best iedereen te voorzien van boodschappen. Maar het is voor ons een hele drukkte tijd.  ^Robin",dank voor je idee maar nee dit is niet mogelijk we doen ons best iedereen te voorzien van boodschappen maar het is voor ons een hele drukkte tijd  robin,0.25,positive
2020-03-30 10-03-22,albertheijn,,,,0,,Tracebuzz,nl,@dennisvankommer  Suuuuper lief van ze! 💙 ^Robin,suuuuper lief van ze  robin,0.79,positive
2020-03-30 11-03-03,albertheijn,,,,1,,Tracebuzz,nl,"@haesebroeck  Hoi! We vragen iedereen, wanneer dat mogelijk is, alleen te komen winkelen. Geen overbodige bezoekjes dus. Mocht het niet anders kunnen is dit zeker mogelijk, wel met een eigen winkelkar. ^Robin",hoi we vragen iedereen wanneer dat mogelijk is alleen te komen winkelen geen overbodige bezoekjes dus mocht het niet anders kunnen is dit zeker mogelijk wel met een eigen winkelkar robin,0.09,positive
2020-03-30 11-03-27,albertheijn,,,,0,,Tracebuzz,nl,"@conniemamarazzi Dat weten we nog niet precies! Bewaar de boekjes goed, want deze zijn zometeen natuurlijk 'gewoon' weer geldig. ^Job",dat weten we nog niet precies bewaar de boekjes goed want deze zijn zometeen natuurlijk gewoon weer geldig job,0.18,positive
2020-03-30 11-03-26,albertheijn,,,,0,,Tracebuzz,nl,@HaagscheBluf070 Hiervoor kun je ons het beste een privébericht sturen met ordergegevens. Stuur je ons een DM? :) ^Job,hiervoor kun je ons het beste een privebericht sturen met ordergegevens stuur je ons een dm  job,0.59,positive
2020-03-30 11-03-35,albertheijn,,,,0,,Tracebuzz,nl,@adrm1984  Helaas kan het voorkomen dat er een technisch foutje in het systeem zit. We doen ons best om alles zo goed mogelijk te laten werken 😊 ^Robin,helaas kan het voorkomen dat er een technisch foutje in het systeem zit we doen ons best om alles zo goed mogelijk te laten werken  robin,0.26,positive
2020-03-30 11-03-32,albertheijn,,,,0,,Twitter Web App,nl,@AcrisLegal @MattHouben Klanten met een bezorgbundel kunnen een week verder vooruit inplannen. Ook krijgen zorginstellingen een geresveerd bezorgblok. Hierdoor kan het voorkomen dat een bezorgmoment vol is al vorens deze zichtbaar is voor klanten zonder bezorgbundel. ^Job,klanten met een bezorgbundel kunnen een week verder vooruit inplannen ook krijgen zorginstellingen een geresveerd bezorgblok hierdoor kan het voorkomen dat een bezorgmoment vol is al vorens deze zichtbaar is voor klanten zonder bezorgbundel job,0.1,positive
2020-03-30 11-03-56,albertheijn,,,,0,,Tracebuzz,nl,@PvdKamp1    Er is op dit moment geen bewijs dat het coronavirus zich kan verspreiden via water aerosolen (European Centre for Disease Prevention).  ^Job,er is op dit moment geen bewijs dat het coronavirus zich kan verspreiden via water aerosolen    job,0.0,neutral
2020-03-30 11-03-16,albertheijn,,,,0,,Tracebuzz,nl,"@Stefanofranken Helaas stoppen wij tijdelijk met de spaaractie voor de vershoudbakjes.
Uiteraard blijven alle gespaarde zegels (zowel fysiek als digitaal) geldig en zullen we er ook voor zorgen dat er voldoende tijd en voorraad is om later door te sparen en in te wisselen. ^Robin","helaas stoppen wij tijdelijk met de spaaractie voor de vershoudbakjes
uiteraard blijven alle gespaarde zegels   geldig en zullen we er ook voor zorgen dat er voldoende tijd en voorraad is om later door te sparen en in te wisselen robin",0.11,positive
2020-03-30 11-03-43,albertheijn,,,,0,,Tracebuzz,nl,"@ArjanBonte Wij volgen de adviezen van het RIVM. Het dragen van handschoen draagt niet bij. Voor verdere vragen (personeels gerelateerd), raad ik je aan contact te zoeken met het winkelmanagement. ^Job",wij volgen de adviezen van het rivm het dragen van handschoen draagt niet bij voor verdere vragen   raad ik je aan contact te zoeken met het winkelmanagement job,0.0,neutral
2020-03-30 11-03-14,albertheijn,,,,0,,Tracebuzz,nl,"@velden_inge De mandjes zijn exact uitgeteld. Indien er geen mandjes meer zijn bij de ingang, dient de volgende klant te wachten op een nieuw mandje. Dit heeft alles te maken met het maximaal toegelaten klanten per winkel. ^Job",de mandjes zijn exact uitgeteld indien er geen mandjes meer zijn bij de ingang dient de volgende klant te wachten op een nieuw mandje dit heeft alles te maken met het maximaal toegelaten klanten per winkel job,0.16,positive
2020-03-30 11-03-43,albertheijn,,,,0,,Tracebuzz,nl,"@jurjenjan1971 De pads mogen bij het restafval, die zie je ook terug op de verpakking van de pads. Het materiaal van de koffiepads bestaat voor ongeveer 20% uit een thermische kunststof. Dit is noodzakelijk om de bovenkant met de onderkant te sealen. ^Job",de pads mogen bij het restafval die zie je ook terug op de verpakking van de pads het materiaal van de koffiepads bestaat voor ongeveer 20 uit een thermische kunststof dit is noodzakelijk om de bovenkant met de onderkant te sealen job,0.05,positive
2020-03-30 11-03-50,albertheijn,,,,0,,Tracebuzz,nl,@MatthijsBos6 Ziet er geslaagd uit!☺️ ^Job,ziet er geslaagd uit job,0.8,positive
2020-03-30 11-03-48,albertheijn,,,,0,,Tracebuzz,nl,"@Mascha_NY Misschien is het een idee om een Bezorgbundel aal te schaffen. Je kunt dan een wekelijks vast moment in laten plannen, de bezorgkosten komen te vervallen en je kunt een week langer vooruit je bestelling claimen. Het maximale bedrag blijft echter wel van kracht. ^Job",misschien is het een idee om een bezorgbundel aal te schaffen je kunt dan een wekelijks vast moment in laten plannen de bezorgkosten komen te vervallen en je kunt een week langer vooruit je bestelling claimen het maximale bedrag blijft echter wel van kracht job,0.07,positive
2020-03-30 11-03-13,albertheijn,,,,0,,Tracebuzz,nl,@Mascha_NY Je vindt alle informatie op deze pagina: https://t.co/IKMPtg2Ohn ^Job,je vindt alle informatie op deze pagina  job,0.0,neutral
