mined_at,created_at,year,month,day,day_of_week,hour,minute,screen_name,tweet_id,tweet_id_str,retweet_count,favorite_count,source,hashtags,urls,language,user_favourites_count,followers_count,friends_count,text
2020-06-24 17:06:50.798338,2018-12-07 15:06:19+00:00,2018,12,7,4,15,6,picnic,1071058330003623936,1071058330003623936,0,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],nl,3885,4842,5,@MiriamKrooswijk Spannend Miriam! Laat ons even weten hoe de eerste bestelling is verlopen. 👍
2020-06-24 17:06:50.798338,2018-12-07 15:24:06+00:00,2018,12,7,4,15,24,picnic,1071062804998877184,1071062804998877184,0,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],nl,3885,4842,5,@MiriamKrooswijk Dat is balen zeg Miriam. Wij hebben alleen autootjes die de boodschappen komen brengen zonder muntjes en andere toeters en bellen! Hopelijk breiden we snel uit naar de gemeente Papendrecht. Ik wens je nog een fijne dag toe.
2020-06-24 17:06:50.798338,2018-12-07 15:35:11+00:00,2018,12,7,4,15,35,picnic,1071065594282299394,1071065594282299394,0,,"<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>",[],[],nl,3885,4842,5,@MiriamKrooswijk Dat komt goed! Een fijn weekend toegewenst!
2020-06-24 17:06:50.798338,2018-12-07 18:16:48+00:00,2018,12,7,4,18,16,picnic,1071106266519478273,1071106266519478273,0,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],nl,3885,4842,5,@S_Groeneveld Wat leuk om te lezen dat je zo tevreden bent! Geniet van de boodschappen. Alvast een fijn weekend. 🙌
2020-06-24 17:06:50.798338,2018-12-08 13:41:17+00:00,2018,12,8,5,13,41,picnic,1071399319113269249,1071399319113269249,0,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],nl,3885,4842,5,"@kayotickitchen Hi Kay! We verpakken op dit moment alleen de: runderriblappen, biefstuk, runderstooflappen, kogelbiefstuk, runderpoule, soeppakket, entrecote, en bieflappen in vacuum. Goed om te horen dat dit zo goed ontvangen is!"
2020-06-24 17:06:50.798338,2018-12-08 18:29:03+00:00,2018,12,8,5,18,29,picnic,1071471736267399168,1071471736267399168,0,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],nl,3885,4842,5,@BarbesSpeelt Hi Barbes! Wat jammer dat je bestelling bij ons tegenviel. Ik stuur je een DM zodat ik nog wat over ons uit kan leggen! :)
2020-06-24 17:06:50.798338,2018-12-08 20:41:30+00:00,2018,12,8,5,20,41,picnic,1071505066765545472,1071505066765545472,0,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],nl,3885,4842,5,"@Fred3012 Jammer dat het bezorgmoment voor jou morgen al vol zit. Helaas kan dit gebeuren als de mensen in je buurt snel nog veel bestellingen plaatsen, en het autootje hélemaal vol komt te zitten. Ik hoop dat er een ander bezorgmoment is dat je ook schikt!"
2020-06-24 17:06:50.798338,2018-12-08 21:01:01+00:00,2018,12,8,5,21,1,picnic,1071509978450747393,1071509978450747393,0,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],nl,3885,4842,5,"@Fred3012 We zijn hard bezig met onze uitrol door Nederland, en er komen steeds meer autootjes, bezorgers, inpakkers, en hubs bij. En die gaan we allemaal inzetten door het hele land, ook in jouw buurt. Als je nog meer vragen hebt, stuur me dan een DM. Daar kan ik uitgebreider uitleggen!"
2020-06-24 17:06:50.798338,2018-12-09 14:23:44+00:00,2018,12,9,6,14,23,picnic,1071772388877049860,1071772388877049860,0,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],"[{'expanded_url': 'http://Picnic.nl', 'url': 'https://t.co/dFePaQEqzF'}]",nl,3885,4842,5,"@glennvdplaat Hi Glenn! Ik weet helaas nog niet wanneer we het centrum in gaan. Wel top dat je met ons meedenkt en aangeeft dat dát stukje centrum wel bereikbaar is. Als je je gegevens invult op https://t.co/dFePaQEqzF, hoor je het meteen als we je wekelijkse boodschappen kunnen komen brengen!"
2020-06-24 17:06:50.798338,2018-12-10 08:56:03+00:00,2018,12,10,0,8,56,picnic,1072052310270984192,1072052310270984192,0,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],nl,3885,4842,5,@Duerinck @Fred3012 Hoi Jacqueline! Ik stuur je eventjes een DM hierover :)
2020-06-24 17:06:50.798338,2018-12-10 09:53:23+00:00,2018,12,10,0,9,53,picnic,1072066739083636736,1072066739083636736,4,18.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],en,3885,4842,5,"Last year, our customers donated 31,893 products to the Dutch Food Bank Foundation. This year we are trying to top that, and we are off to a good start. From today until 16th December you can donate a meal for people in need. Help us make a difference! https://t.co/FK02oqByz0"
