mined_at,created_at,year,month,day,day_of_week,hour,minute,tweet_id,tweet_id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,hashtags,source,language,screen_name,user_tweet_id,user_tweet_id_str,user_favourites_count,followers_count,friends_count,text
2020-06-22 15:28:31.546323,2020-06-22 03:27:49+00:00,2020,6,22,0,3,27,1274906915143692288,1274906915143692288,,,,"[{'text': 'suspro'}, {'text': 'vegan'}]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,SusproFoods,869774415923261440,869774415923261440,,207,324,"Perfect timing for COVID-19 to die down a bit as the sun starts to shine. Go out and enjoy but remember to stay socially distance. Various outdoor ideas include picnic, hiking, walking in the park, jogging, or golfing. What are some of your favourite activities? #suspro #vegan https://t.co/N1DbJSFSt4"
2020-06-22 15:28:34.730877,2020-06-22 03:30:50+00:00,2020,6,22,0,3,30,1274907672333221889,1274907672333221889,,,,[],"<a href=""https://www.qureet.com"" rel=""nofollow"">Qureet Leads</a>",en,LohasTopStories,3332182334,3332182334,,8341,1493,RT @SusproFoods: Perfect timing for COVID-19 to die down a bit as the sun starts to shine. Go out and enjoy but remember to stay socially d…
2020-06-22 15:28:32.511010,2020-06-22 04:34:12+00:00,2020,6,22,0,4,34,1274923618498207744,1274923618498207744,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",es,ramirez_f23,1584172249,1584172249,,1378,580,Yo cuando no fui a Picnic porque estaba ahorrando para mi viaje y tampoco fui a mi viaje por el Covid: https://t.co/CTFtt3f54J
2020-06-22 15:28:33.439709,2020-06-22 05:53:41+00:00,2020,6,22,0,5,53,1274943622836744192,1274943622836744192,carolduncan,1.2748395829078303e+18,20032587.0,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,SerenasSoapbox,15213963,15213963,44052.0,425,781,"@carolduncan Yep. The ongoing health problems for those who have ‘recovered’ sound terrible. No thank you. 

I got shingles in the ear at 42. Nearly lost my hearing in one ear, damaged my balance. Live with tinnitus. Took 12 months to regain energy. Yet sounds like a picnic compared to covid"
2020-06-22 15:28:34.730877,2020-06-22 06:13:20+00:00,2020,6,22,0,6,13,1274948565530316801,1274948565530316801,,,,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,nessiejones22,3647429599,3647429599,,591,785,"During our covid world, would you use a picnic table in a public park?"
2020-06-22 15:28:32.854527,2020-06-22 07:15:04+00:00,2020,6,22,0,7,15,1274964101207392256,1274964101207392256,,,,[],"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",en,d_chungster,1482184597,1482184597,,355,832,"Business resilience in the time of COVID-19: The story of a picnic company, a magician and a corporate training firm https://t.co/aNzZ3pDuqk"
2020-06-22 15:28:30.426025,2020-06-22 09:04:09+00:00,2020,6,22,0,9,4,1274991554566987777,1274991554566987777,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,rohanitarohin,151902956,151902956,,414,771,"Business resilience in the time of COVID-19: The story of a picnic company, a magician and a corporate training firm https://t.co/6w3qSjdjuq"
2020-06-22 15:28:31.892237,2020-06-22 09:09:28+00:00,2020,6,22,0,9,9,1274992893187493889,1274992893187493889,Xephelias_Sama,1.2749903684345897e+18,2320663181.0,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",fr,Swtchz,3631835297,3631835297,263.0,34,77,@Xephelias_Sama Avec le COVID c'est un peu chaud mais promis le picnic quand ce sera plus safe hein
2020-06-22 15:28:28.650354,2020-06-22 09:10:15+00:00,2020,6,22,0,9,10,1274993088944123904,1274993088944123904,,,,[{'text': 'Pune'}],"<a href=""http://byteco.de"" rel=""nofollow"">pune_pulse</a>",en,pune_pulse,65551875,65551875,,9159,2,#Pune Avoid picnic spots to curb Covid-19 spread: Pune cops - https://t.co/i4LTskL4P4
2020-06-22 15:28:32.854527,2020-06-22 09:12:34+00:00,2020,6,22,0,9,12,1274993672447238146,1274993672447238146,,,,[{'text': 'Pune'}],"<a href=""https://lol.co.com"" rel=""nofollow"">Bhurtya1</a>",en,bhurtya,1217871248564224000,1217871248564224000,,739,34,RT @pune_pulse: #Pune Avoid picnic spots to curb Covid-19 spread: Pune cops - https://t.co/i4LTskL4P4
